model_name,model_version,trained_on,accuracy,precision,recall
LogisticRegression,v1,31/12/2025,0.7932960893854749,0.75,0.6956521739130435
RandomForest,v2,31/12/2025,0.8324022346368715,0.8305084745762712,0.7101449275362319
LogisticRegression,v1,31/12/2025,0.7932960893854749,0.75,0.6956521739130435
RandomForest,v2,31/12/2025,0.8324022346368715,0.8305084745762712,0.7101449275362319
